region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,pressure
Bourgogne-Franche-Comté,2020-08-31,19.0,11.0,9.0,95.5,7.3125,80.5,41
Bourgogne-Franche-Comté,2020-09-01,21.5,10.0,8.5,92.5,8.9375,35.5,91
Bourgogne-Franche-Comté,2020-09-02,22.5,12.0,6.5,85.5,10.0,20.0,6
Bourgogne-Franche-Comté,2020-09-03,27.0,14.5,8.5,74.5,10.0,7.0,126
Bourgogne-Franche-Comté,2020-09-04,24.5,16.5,14.0,71.0,10.0,24.0,62
Bourgogne-Franche-Comté,2020-09-05,18.5,11.0,11.5,88.0,9.5,40.5,68
Bourgogne-Franche-Comté,2020-09-06,21.5,8.5,18.0,84.5,10.0,15.5,9
Bourgogne-Franche-Comté,2020-09-07,24.0,10.5,10.5,82.0,10.0,1.5,33
Bourgogne-Franche-Comté,2020-09-08,26.5,13.5,4.5,77.0,10.0,2.0,68
Bourgogne-Franche-Comté,2020-09-09,25.0,14.0,13.5,78.0,9.6875,18.0,95
Bourgogne-Franche-Comté,2020-09-10,25.5,14.0,11.5,91.0,8.8125,24.5,199
Bourgogne-Franche-Comté,2020-09-11,27.5,15.5,8.0,86.0,10.0,6.0,180
Bourgogne-Franche-Comté,2020-09-12,28.5,14.0,12.0,79.5,10.0,1.0,140
Bourgogne-Franche-Comté,2020-09-13,31.0,16.5,7.5,86.5,10.0,5.5,181
Bourgogne-Franche-Comté,2020-09-14,29.5,17.0,8.0,74.5,10.0,18.5,91
Bourgogne-Franche-Comté,2020-09-15,29.0,17.0,11.5,75.5,9.4375,57.5,200
Bourgogne-Franche-Comté,2020-09-16,27.0,16.0,21.0,87.0,9.5,18.5,144
Bourgogne-Franche-Comté,2020-09-17,29.5,14.5,15.0,95.5,8.4375,17.0,42
Bourgogne-Franche-Comté,2020-09-18,24.5,18.0,15.5,89.5,8.9375,65.0,65
Bourgogne-Franche-Comté,2020-09-19,25.5,15.0,8.0,91.5,8.75,51.0,16
Bourgogne-Franche-Comté,2020-09-20,24.5,14.0,8.0,89.0,9.0,24.0,19
Bourgogne-Franche-Comté,2020-09-21,24.5,13.0,9.0,82.5,9.9375,22.5,184
Bourgogne-Franche-Comté,2020-09-22,21.5,14.0,13.5,94.5,8.5,74.0,159
Bourgogne-Franche-Comté,2020-09-23,18.0,13.5,18.0,96.0,9.25,71.5,55
Bourgogne-Franche-Comté,2020-09-24,12.5,8.0,27.0,91.5,9.1875,82.0,163
Bourgogne-Franche-Comté,2020-09-25,11.5,6.0,23.0,92.5,9.5625,76.0,23
Bourgogne-Franche-Comté,2020-09-26,8.0,6.5,27.5,95.5,6.1875,92.5,9
Bourgogne-Franche-Comté,2020-09-27,12.5,8.0,6.5,95.5,7.0625,88.5,1
Bourgogne-Franche-Comté,2020-09-28,16.0,9.5,9.0,96.0,9.0,69.5,159
Bourgogne-Franche-Comté,2020-09-29,19.0,9.0,5.0,95.0,8.5,32.0,141
Bretagne,2020-08-31,21.0,9.0,17.0,93.0,10.0,16.0,46
Bretagne,2020-09-01,22.0,10.0,9.0,88.0,10.0,26.0,114
Bretagne,2020-09-02,25.0,13.0,21.0,88.0,10.0,42.0,86
Bretagne,2020-09-03,24.0,15.0,9.0,96.0,7.0,55.0,119
Bretagne,2020-09-04,19.0,13.0,19.0,93.0,9.0,63.0,32
Bretagne,2020-09-05,19.0,10.0,15.0,91.0,9.75,51.0,173
Bretagne,2020-09-06,21.0,10.0,10.0,96.0,8.0,33.0,197
Bretagne,2020-09-07,25.0,12.0,8.0,92.0,10.0,31.0,193
Bretagne,2020-09-08,25.0,14.0,18.0,97.0,7.375,26.0,151
Bretagne,2020-09-09,23.0,17.0,11.0,95.0,5.75,73.0,167
Bretagne,2020-09-10,24.0,11.0,9.0,99.0,6.0,47.0,61
Bretagne,2020-09-11,24.0,9.0,9.0,95.0,7.0,12.0,132
Bretagne,2020-09-12,28.0,12.0,12.0,87.0,10.0,1.0,117
Bretagne,2020-09-13,32.0,14.0,18.0,55.0,10.0,6.0,108
Bretagne,2020-09-14,28.0,17.0,12.0,86.0,9.625,39.0,37
Bretagne,2020-09-15,27.0,16.0,17.0,95.0,8.0,32.0,74
Bretagne,2020-09-16,28.0,15.0,25.0,91.0,9.875,27.0,114
Bretagne,2020-09-17,29.0,15.0,24.0,65.0,10.0,23.0,185
Bretagne,2020-09-18,23.0,17.0,9.0,95.0,8.25,78.0,191
Bretagne,2020-09-19,25.0,15.0,14.0,94.0,6.875,57.0,66
Bretagne,2020-09-20,26.0,16.0,4.0,91.0,8.375,37.0,125
Bretagne,2020-09-21,23.0,14.0,17.0,97.0,7.5,62.0,76
Bretagne,2020-09-22,20.0,14.0,26.0,96.0,9.0,68.0,7
Bretagne,2020-09-23,17.0,11.0,33.0,88.0,9.0,58.0,129
Bretagne,2020-09-24,14.0,10.0,37.0,82.0,9.5,66.0,11
Bretagne,2020-09-25,14.0,9.0,26.0,84.0,9.75,71.0,168
Bretagne,2020-09-26,14.0,11.0,35.0,76.0,10.0,52.0,30
Bretagne,2020-09-27,17.0,7.0,16.0,94.0,10.0,60.0,156
Bretagne,2020-09-28,19.0,14.0,9.0,96.0,7.625,76.0,112
