_id,region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,pressure
ObjectId(63e4bbd04e31320bce166d31),Bourgogne-Franche-Comté,2020-08-31T00:00:00.000Z,19,11,9,95.5,7.3125,80.5,41
ObjectId(63e4bbd04e31320bce166d32),Bourgogne-Franche-Comté,2020-09-01T00:00:00.000Z,21.5,10,8.5,92.5,8.9375,35.5,91
ObjectId(63e4bbd04e31320bce166d33),Bourgogne-Franche-Comté,2020-09-02T00:00:00.000Z,22.5,12,6.5,85.5,10,20,6
ObjectId(63e4bbd04e31320bce166d34),Bourgogne-Franche-Comté,2020-09-03T00:00:00.000Z,27,14.5,8.5,74.5,10,7,126
ObjectId(63e4bbd04e31320bce166d35),Bourgogne-Franche-Comté,2020-09-04T00:00:00.000Z,24.5,16.5,14,71,10,24,62
ObjectId(63e4bbd04e31320bce166d36),Bourgogne-Franche-Comté,2020-09-05T00:00:00.000Z,18.5,11,11.5,88,9.5,40.5,68
ObjectId(63e4bbd04e31320bce166d37),Bourgogne-Franche-Comté,2020-09-06T00:00:00.000Z,21.5,8.5,18,84.5,10,15.5,9
ObjectId(63e4bbd04e31320bce166d38),Bourgogne-Franche-Comté,2020-09-07T00:00:00.000Z,24,10.5,10.5,82,10,1.5,33
ObjectId(63e4bbd04e31320bce166d39),Bourgogne-Franche-Comté,2020-09-08T00:00:00.000Z,26.5,13.5,4.5,77,10,2,68
ObjectId(63e4bbd04e31320bce166d3a),Bourgogne-Franche-Comté,2020-09-09T00:00:00.000Z,25,14,13.5,78,9.6875,18,95
ObjectId(63e4bbd04e31320bce166d3b),Bourgogne-Franche-Comté,2020-09-10T00:00:00.000Z,25.5,14,11.5,91,8.8125,24.5,199
ObjectId(63e4bbd04e31320bce166d3c),Bourgogne-Franche-Comté,2020-09-11T00:00:00.000Z,27.5,15.5,8,86,10,6,180
ObjectId(63e4bbd04e31320bce166d3d),Bourgogne-Franche-Comté,2020-09-12T00:00:00.000Z,28.5,14,12,79.5,10,1,140
ObjectId(63e4bbd04e31320bce166d3e),Bourgogne-Franche-Comté,2020-09-13T00:00:00.000Z,31,16.5,7.5,86.5,10,5.5,181
ObjectId(63e4bbd04e31320bce166d3f),Bourgogne-Franche-Comté,2020-09-14T00:00:00.000Z,29.5,17,8,74.5,10,18.5,91
ObjectId(63e4bbd04e31320bce166d40),Bourgogne-Franche-Comté,2020-09-15T00:00:00.000Z,29,17,11.5,75.5,9.4375,57.5,200
ObjectId(63e4bbd04e31320bce166d41),Bourgogne-Franche-Comté,2020-09-16T00:00:00.000Z,27,16,21,87,9.5,18.5,144
ObjectId(63e4bbd04e31320bce166d42),Bourgogne-Franche-Comté,2020-09-17T00:00:00.000Z,29.5,14.5,15,95.5,8.4375,17,42
ObjectId(63e4bbd04e31320bce166d43),Bourgogne-Franche-Comté,2020-09-18T00:00:00.000Z,24.5,18,15.5,89.5,8.9375,65,65
ObjectId(63e4bbd04e31320bce166d44),Bourgogne-Franche-Comté,2020-09-19T00:00:00.000Z,25.5,15,8,91.5,8.75,51,16
ObjectId(63e4bbd04e31320bce166d45),Bourgogne-Franche-Comté,2020-09-20T00:00:00.000Z,24.5,14,8,89,9,24,19
ObjectId(63e4bbd04e31320bce166d46),Bourgogne-Franche-Comté,2020-09-21T00:00:00.000Z,24.5,13,9,82.5,9.9375,22.5,184
ObjectId(63e4bbd04e31320bce166d47),Bourgogne-Franche-Comté,2020-09-22T00:00:00.000Z,21.5,14,13.5,94.5,8.5,74,159
ObjectId(63e4bbd04e31320bce166d48),Bourgogne-Franche-Comté,2020-09-23T00:00:00.000Z,18,13.5,18,96,9.25,71.5,55
ObjectId(63e4bbd04e31320bce166d49),Bourgogne-Franche-Comté,2020-09-24T00:00:00.000Z,12.5,8,27,91.5,9.1875,82,163
ObjectId(63e4bbd04e31320bce166d4a),Bourgogne-Franche-Comté,2020-09-25T00:00:00.000Z,11.5,6,23,92.5,9.5625,76,23
ObjectId(63e4bbd04e31320bce166d4b),Bourgogne-Franche-Comté,2020-09-26T00:00:00.000Z,8,6.5,27.5,95.5,6.1875,92.5,9
ObjectId(63e4bbd04e31320bce166d4c),Bourgogne-Franche-Comté,2020-09-27T00:00:00.000Z,12.5,8,6.5,95.5,7.0625,88.5,1
